,subject,session,task,check,path,confounds_path,path,confounds_path
340,9001,1,arrows,TRUE,sub-9001/ses-1/func/sub-9001_ses-1_task-arrows,sub-9001/ses-1/func/sub-9001_ses-1_task-arrows,sub-9001/ses-1/func/sub-9001_ses-1_task-arrows,sub-9001/ses-1/func/sub-9001_ses-1_task-arrows
337,9001,1,faces,TRUE,sub-9001/ses-1/func/sub-9001_ses-1_task-faces,sub-9001/ses-1/func/sub-9001_ses-1_task-faces,sub-9001/ses-1/func/sub-9001_ses-1_task-faces,sub-9001/ses-1/func/sub-9001_ses-1_task-faces
338,9001,1,hands,TRUE,sub-9001/ses-1/func/sub-9001_ses-1_task-hands,sub-9001/ses-1/func/sub-9001_ses-1_task-hands,sub-9001/ses-1/func/sub-9001_ses-1_task-hands,sub-9001/ses-1/func/sub-9001_ses-1_task-hands
341,9001,1,rest,TRUE,sub-9001/ses-1/func/sub-9001_ses-1_task-rest,sub-9001/ses-1/func/sub-9001_ses-1_task-rest,sub-9001/ses-1/func/sub-9001_ses-1_task-rest,sub-9001/ses-1/func/sub-9001_ses-1_task-rest
339,9001,1,sleepiness,TRUE,sub-9001/ses-1/func/sub-9001_ses-1_task-sleepiness,sub-9001/ses-1/func/sub-9001_ses-1_task-sleepiness,sub-9001/ses-1/func/sub-9001_ses-1_task-sleepiness,sub-9001/ses-1/func/sub-9001_ses-1_task-sleepiness
332,9001,2,arrows,TRUE,sub-9001/ses-2/func/sub-9001_ses-2_task-arrows,sub-9001/ses-2/func/sub-9001_ses-2_task-arrows,sub-9001/ses-2/func/sub-9001_ses-2_task-arrows,sub-9001/ses-2/func/sub-9001_ses-2_task-arrows
335,9001,2,faces,TRUE,sub-9001/ses-2/func/sub-9001_ses-2_task-faces,sub-9001/ses-2/func/sub-9001_ses-2_task-faces,sub-9001/ses-2/func/sub-9001_ses-2_task-faces,sub-9001/ses-2/func/sub-9001_ses-2_task-faces
334,9001,2,hands,TRUE,sub-9001/ses-2/func/sub-9001_ses-2_task-hands,sub-9001/ses-2/func/sub-9001_ses-2_task-hands,sub-9001/ses-2/func/sub-9001_ses-2_task-hands,sub-9001/ses-2/func/sub-9001_ses-2_task-hands
333,9001,2,rest,TRUE,sub-9001/ses-2/func/sub-9001_ses-2_task-rest,sub-9001/ses-2/func/sub-9001_ses-2_task-rest,sub-9001/ses-2/func/sub-9001_ses-2_task-rest,sub-9001/ses-2/func/sub-9001_ses-2_task-rest
336,9001,2,sleepiness,TRUE,sub-9001/ses-2/func/sub-9001_ses-2_task-sleepiness,sub-9001/ses-2/func/sub-9001_ses-2_task-sleepiness,sub-9001/ses-2/func/sub-9001_ses-2_task-sleepiness,sub-9001/ses-2/func/sub-9001_ses-2_task-sleepiness
790,9002,1,arrows,TRUE,sub-9002/ses-1/func/sub-9002_ses-1_task-arrows,sub-9002/ses-1/func/sub-9002_ses-1_task-arrows,sub-9002/ses-1/func/sub-9002_ses-1_task-arrows,sub-9002/ses-1/func/sub-9002_ses-1_task-arrows
791,9002,1,faces,TRUE,sub-9002/ses-1/func/sub-9002_ses-1_task-faces,sub-9002/ses-1/func/sub-9002_ses-1_task-faces,sub-9002/ses-1/func/sub-9002_ses-1_task-faces,sub-9002/ses-1/func/sub-9002_ses-1_task-faces
794,9002,1,hands,TRUE,sub-9002/ses-1/func/sub-9002_ses-1_task-hands,sub-9002/ses-1/func/sub-9002_ses-1_task-hands,sub-9002/ses-1/func/sub-9002_ses-1_task-hands,sub-9002/ses-1/func/sub-9002_ses-1_task-hands
792,9002,1,rest,TRUE,sub-9002/ses-1/func/sub-9002_ses-1_task-rest,sub-9002/ses-1/func/sub-9002_ses-1_task-rest,sub-9002/ses-1/func/sub-9002_ses-1_task-rest,sub-9002/ses-1/func/sub-9002_ses-1_task-rest
793,9002,1,sleepiness,TRUE,sub-9002/ses-1/func/sub-9002_ses-1_task-sleepiness,sub-9002/ses-1/func/sub-9002_ses-1_task-sleepiness,sub-9002/ses-1/func/sub-9002_ses-1_task-sleepiness,sub-9002/ses-1/func/sub-9002_ses-1_task-sleepiness
789,9002,2,arrows,TRUE,sub-9002/ses-2/func/sub-9002_ses-2_task-arrows,sub-9002/ses-2/func/sub-9002_ses-2_task-arrows,sub-9002/ses-2/func/sub-9002_ses-2_task-arrows,sub-9002/ses-2/func/sub-9002_ses-2_task-arrows
785,9002,2,faces,TRUE,sub-9002/ses-2/func/sub-9002_ses-2_task-faces,sub-9002/ses-2/func/sub-9002_ses-2_task-faces,sub-9002/ses-2/func/sub-9002_ses-2_task-faces,sub-9002/ses-2/func/sub-9002_ses-2_task-faces
787,9002,2,hands,TRUE,sub-9002/ses-2/func/sub-9002_ses-2_task-hands,sub-9002/ses-2/func/sub-9002_ses-2_task-hands,sub-9002/ses-2/func/sub-9002_ses-2_task-hands,sub-9002/ses-2/func/sub-9002_ses-2_task-hands
788,9002,2,rest,TRUE,sub-9002/ses-2/func/sub-9002_ses-2_task-rest,sub-9002/ses-2/func/sub-9002_ses-2_task-rest,sub-9002/ses-2/func/sub-9002_ses-2_task-rest,sub-9002/ses-2/func/sub-9002_ses-2_task-rest
786,9002,2,sleepiness,TRUE,sub-9002/ses-2/func/sub-9002_ses-2_task-sleepiness,sub-9002/ses-2/func/sub-9002_ses-2_task-sleepiness,sub-9002/ses-2/func/sub-9002_ses-2_task-sleepiness,sub-9002/ses-2/func/sub-9002_ses-2_task-sleepiness
656,9003,1,arrows,TRUE,sub-9003/ses-1/func/sub-9003_ses-1_task-arrows,sub-9003/ses-1/func/sub-9003_ses-1_task-arrows,sub-9003/ses-1/func/sub-9003_ses-1_task-arrows,sub-9003/ses-1/func/sub-9003_ses-1_task-arrows
654,9003,1,faces,TRUE,sub-9003/ses-1/func/sub-9003_ses-1_task-faces,sub-9003/ses-1/func/sub-9003_ses-1_task-faces,sub-9003/ses-1/func/sub-9003_ses-1_task-faces,sub-9003/ses-1/func/sub-9003_ses-1_task-faces
653,9003,1,hands,TRUE,sub-9003/ses-1/func/sub-9003_ses-1_task-hands,sub-9003/ses-1/func/sub-9003_ses-1_task-hands,sub-9003/ses-1/func/sub-9003_ses-1_task-hands,sub-9003/ses-1/func/sub-9003_ses-1_task-hands
655,9003,1,rest,TRUE,sub-9003/ses-1/func/sub-9003_ses-1_task-rest,sub-9003/ses-1/func/sub-9003_ses-1_task-rest,sub-9003/ses-1/func/sub-9003_ses-1_task-rest,sub-9003/ses-1/func/sub-9003_ses-1_task-rest
652,9003,1,sleepiness,TRUE,sub-9003/ses-1/func/sub-9003_ses-1_task-sleepiness,sub-9003/ses-1/func/sub-9003_ses-1_task-sleepiness,sub-9003/ses-1/func/sub-9003_ses-1_task-sleepiness,sub-9003/ses-1/func/sub-9003_ses-1_task-sleepiness
647,9003,2,arrows,TRUE,sub-9003/ses-2/func/sub-9003_ses-2_task-arrows,sub-9003/ses-2/func/sub-9003_ses-2_task-arrows,sub-9003/ses-2/func/sub-9003_ses-2_task-arrows,sub-9003/ses-2/func/sub-9003_ses-2_task-arrows
650,9003,2,faces,TRUE,sub-9003/ses-2/func/sub-9003_ses-2_task-faces,sub-9003/ses-2/func/sub-9003_ses-2_task-faces,sub-9003/ses-2/func/sub-9003_ses-2_task-faces,sub-9003/ses-2/func/sub-9003_ses-2_task-faces
649,9003,2,hands,TRUE,sub-9003/ses-2/func/sub-9003_ses-2_task-hands,sub-9003/ses-2/func/sub-9003_ses-2_task-hands,sub-9003/ses-2/func/sub-9003_ses-2_task-hands,sub-9003/ses-2/func/sub-9003_ses-2_task-hands
648,9003,2,rest,TRUE,sub-9003/ses-2/func/sub-9003_ses-2_task-rest,sub-9003/ses-2/func/sub-9003_ses-2_task-rest,sub-9003/ses-2/func/sub-9003_ses-2_task-rest,sub-9003/ses-2/func/sub-9003_ses-2_task-rest
651,9003,2,sleepiness,TRUE,sub-9003/ses-2/func/sub-9003_ses-2_task-sleepiness,sub-9003/ses-2/func/sub-9003_ses-2_task-sleepiness,sub-9003/ses-2/func/sub-9003_ses-2_task-sleepiness,sub-9003/ses-2/func/sub-9003_ses-2_task-sleepiness
174,9004,1,arrows,TRUE,sub-9004/ses-1/func/sub-9004_ses-1_task-arrows,sub-9004/ses-1/func/sub-9004_ses-1_task-arrows,sub-9004/ses-1/func/sub-9004_ses-1_task-arrows,sub-9004/ses-1/func/sub-9004_ses-1_task-arrows
172,9004,1,faces,TRUE,sub-9004/ses-1/func/sub-9004_ses-1_task-faces,sub-9004/ses-1/func/sub-9004_ses-1_task-faces,sub-9004/ses-1/func/sub-9004_ses-1_task-faces,sub-9004/ses-1/func/sub-9004_ses-1_task-faces
171,9004,1,hands,TRUE,sub-9004/ses-1/func/sub-9004_ses-1_task-hands,sub-9004/ses-1/func/sub-9004_ses-1_task-hands,sub-9004/ses-1/func/sub-9004_ses-1_task-hands,sub-9004/ses-1/func/sub-9004_ses-1_task-hands
173,9004,1,rest,TRUE,sub-9004/ses-1/func/sub-9004_ses-1_task-rest,sub-9004/ses-1/func/sub-9004_ses-1_task-rest,sub-9004/ses-1/func/sub-9004_ses-1_task-rest,sub-9004/ses-1/func/sub-9004_ses-1_task-rest
170,9004,1,sleepiness,TRUE,sub-9004/ses-1/func/sub-9004_ses-1_task-sleepiness,sub-9004/ses-1/func/sub-9004_ses-1_task-sleepiness,sub-9004/ses-1/func/sub-9004_ses-1_task-sleepiness,sub-9004/ses-1/func/sub-9004_ses-1_task-sleepiness
167,9004,2,arrows,TRUE,sub-9004/ses-2/func/sub-9004_ses-2_task-arrows,sub-9004/ses-2/func/sub-9004_ses-2_task-arrows,sub-9004/ses-2/func/sub-9004_ses-2_task-arrows,sub-9004/ses-2/func/sub-9004_ses-2_task-arrows
165,9004,2,faces,TRUE,sub-9004/ses-2/func/sub-9004_ses-2_task-faces,sub-9004/ses-2/func/sub-9004_ses-2_task-faces,sub-9004/ses-2/func/sub-9004_ses-2_task-faces,sub-9004/ses-2/func/sub-9004_ses-2_task-faces
168,9004,2,hands,TRUE,sub-9004/ses-2/func/sub-9004_ses-2_task-hands,sub-9004/ses-2/func/sub-9004_ses-2_task-hands,sub-9004/ses-2/func/sub-9004_ses-2_task-hands,sub-9004/ses-2/func/sub-9004_ses-2_task-hands
169,9004,2,rest,TRUE,sub-9004/ses-2/func/sub-9004_ses-2_task-rest,sub-9004/ses-2/func/sub-9004_ses-2_task-rest,sub-9004/ses-2/func/sub-9004_ses-2_task-rest,sub-9004/ses-2/func/sub-9004_ses-2_task-rest
166,9004,2,sleepiness,TRUE,sub-9004/ses-2/func/sub-9004_ses-2_task-sleepiness,sub-9004/ses-2/func/sub-9004_ses-2_task-sleepiness,sub-9004/ses-2/func/sub-9004_ses-2_task-sleepiness,sub-9004/ses-2/func/sub-9004_ses-2_task-sleepiness
191,9005,1,arrows,TRUE,sub-9005/ses-1/func/sub-9005_ses-1_task-arrows,sub-9005/ses-1/func/sub-9005_ses-1_task-arrows,sub-9005/ses-1/func/sub-9005_ses-1_task-arrows,sub-9005/ses-1/func/sub-9005_ses-1_task-arrows
192,9005,1,faces,TRUE,sub-9005/ses-1/func/sub-9005_ses-1_task-faces,sub-9005/ses-1/func/sub-9005_ses-1_task-faces,sub-9005/ses-1/func/sub-9005_ses-1_task-faces,sub-9005/ses-1/func/sub-9005_ses-1_task-faces
194,9005,1,hands,TRUE,sub-9005/ses-1/func/sub-9005_ses-1_task-hands,sub-9005/ses-1/func/sub-9005_ses-1_task-hands,sub-9005/ses-1/func/sub-9005_ses-1_task-hands,sub-9005/ses-1/func/sub-9005_ses-1_task-hands
190,9005,1,rest,TRUE,sub-9005/ses-1/func/sub-9005_ses-1_task-rest,sub-9005/ses-1/func/sub-9005_ses-1_task-rest,sub-9005/ses-1/func/sub-9005_ses-1_task-rest,sub-9005/ses-1/func/sub-9005_ses-1_task-rest
193,9005,1,sleepiness,TRUE,sub-9005/ses-1/func/sub-9005_ses-1_task-sleepiness,sub-9005/ses-1/func/sub-9005_ses-1_task-sleepiness,sub-9005/ses-1/func/sub-9005_ses-1_task-sleepiness,sub-9005/ses-1/func/sub-9005_ses-1_task-sleepiness
189,9005,2,arrows,TRUE,sub-9005/ses-2/func/sub-9005_ses-2_task-arrows,sub-9005/ses-2/func/sub-9005_ses-2_task-arrows,sub-9005/ses-2/func/sub-9005_ses-2_task-arrows,sub-9005/ses-2/func/sub-9005_ses-2_task-arrows
185,9005,2,faces,TRUE,sub-9005/ses-2/func/sub-9005_ses-2_task-faces,sub-9005/ses-2/func/sub-9005_ses-2_task-faces,sub-9005/ses-2/func/sub-9005_ses-2_task-faces,sub-9005/ses-2/func/sub-9005_ses-2_task-faces
187,9005,2,hands,TRUE,sub-9005/ses-2/func/sub-9005_ses-2_task-hands,sub-9005/ses-2/func/sub-9005_ses-2_task-hands,sub-9005/ses-2/func/sub-9005_ses-2_task-hands,sub-9005/ses-2/func/sub-9005_ses-2_task-hands
188,9005,2,rest,TRUE,sub-9005/ses-2/func/sub-9005_ses-2_task-rest,sub-9005/ses-2/func/sub-9005_ses-2_task-rest,sub-9005/ses-2/func/sub-9005_ses-2_task-rest,sub-9005/ses-2/func/sub-9005_ses-2_task-rest
186,9005,2,sleepiness,TRUE,sub-9005/ses-2/func/sub-9005_ses-2_task-sleepiness,sub-9005/ses-2/func/sub-9005_ses-2_task-sleepiness,sub-9005/ses-2/func/sub-9005_ses-2_task-sleepiness,sub-9005/ses-2/func/sub-9005_ses-2_task-sleepiness
400,9007,1,arrows,TRUE,sub-9007/ses-1/func/sub-9007_ses-1_task-arrows,sub-9007/ses-1/func/sub-9007_ses-1_task-arrows,sub-9007/ses-1/func/sub-9007_ses-1_task-arrows,sub-9007/ses-1/func/sub-9007_ses-1_task-arrows
401,9007,1,faces,TRUE,sub-9007/ses-1/func/sub-9007_ses-1_task-faces,sub-9007/ses-1/func/sub-9007_ses-1_task-faces,sub-9007/ses-1/func/sub-9007_ses-1_task-faces,sub-9007/ses-1/func/sub-9007_ses-1_task-faces
398,9007,1,hands,TRUE,sub-9007/ses-1/func/sub-9007_ses-1_task-hands,sub-9007/ses-1/func/sub-9007_ses-1_task-hands,sub-9007/ses-1/func/sub-9007_ses-1_task-hands,sub-9007/ses-1/func/sub-9007_ses-1_task-hands
399,9007,1,rest,TRUE,sub-9007/ses-1/func/sub-9007_ses-1_task-rest,sub-9007/ses-1/func/sub-9007_ses-1_task-rest,sub-9007/ses-1/func/sub-9007_ses-1_task-rest,sub-9007/ses-1/func/sub-9007_ses-1_task-rest
397,9007,1,sleepiness,TRUE,sub-9007/ses-1/func/sub-9007_ses-1_task-sleepiness,sub-9007/ses-1/func/sub-9007_ses-1_task-sleepiness,sub-9007/ses-1/func/sub-9007_ses-1_task-sleepiness,sub-9007/ses-1/func/sub-9007_ses-1_task-sleepiness
396,9007,2,arrows,TRUE,sub-9007/ses-2/func/sub-9007_ses-2_task-arrows,sub-9007/ses-2/func/sub-9007_ses-2_task-arrows,sub-9007/ses-2/func/sub-9007_ses-2_task-arrows,sub-9007/ses-2/func/sub-9007_ses-2_task-arrows
393,9007,2,faces,TRUE,sub-9007/ses-2/func/sub-9007_ses-2_task-faces,sub-9007/ses-2/func/sub-9007_ses-2_task-faces,sub-9007/ses-2/func/sub-9007_ses-2_task-faces,sub-9007/ses-2/func/sub-9007_ses-2_task-faces
392,9007,2,hands,TRUE,sub-9007/ses-2/func/sub-9007_ses-2_task-hands,sub-9007/ses-2/func/sub-9007_ses-2_task-hands,sub-9007/ses-2/func/sub-9007_ses-2_task-hands,sub-9007/ses-2/func/sub-9007_ses-2_task-hands
394,9007,2,rest,TRUE,sub-9007/ses-2/func/sub-9007_ses-2_task-rest,sub-9007/ses-2/func/sub-9007_ses-2_task-rest,sub-9007/ses-2/func/sub-9007_ses-2_task-rest,sub-9007/ses-2/func/sub-9007_ses-2_task-rest
395,9007,2,sleepiness,TRUE,sub-9007/ses-2/func/sub-9007_ses-2_task-sleepiness,sub-9007/ses-2/func/sub-9007_ses-2_task-sleepiness,sub-9007/ses-2/func/sub-9007_ses-2_task-sleepiness,sub-9007/ses-2/func/sub-9007_ses-2_task-sleepiness
619,9008,1,arrows,TRUE,sub-9008/ses-1/func/sub-9008_ses-1_task-arrows,sub-9008/ses-1/func/sub-9008_ses-1_task-arrows,sub-9008/ses-1/func/sub-9008_ses-1_task-arrows,sub-9008/ses-1/func/sub-9008_ses-1_task-arrows
618,9008,1,faces,TRUE,sub-9008/ses-1/func/sub-9008_ses-1_task-faces,sub-9008/ses-1/func/sub-9008_ses-1_task-faces,sub-9008/ses-1/func/sub-9008_ses-1_task-faces,sub-9008/ses-1/func/sub-9008_ses-1_task-faces
621,9008,1,hands,TRUE,sub-9008/ses-1/func/sub-9008_ses-1_task-hands,sub-9008/ses-1/func/sub-9008_ses-1_task-hands,sub-9008/ses-1/func/sub-9008_ses-1_task-hands,sub-9008/ses-1/func/sub-9008_ses-1_task-hands
620,9008,1,rest,TRUE,sub-9008/ses-1/func/sub-9008_ses-1_task-rest,sub-9008/ses-1/func/sub-9008_ses-1_task-rest,sub-9008/ses-1/func/sub-9008_ses-1_task-rest,sub-9008/ses-1/func/sub-9008_ses-1_task-rest
617,9008,1,sleepiness,TRUE,sub-9008/ses-1/func/sub-9008_ses-1_task-sleepiness,sub-9008/ses-1/func/sub-9008_ses-1_task-sleepiness,sub-9008/ses-1/func/sub-9008_ses-1_task-sleepiness,sub-9008/ses-1/func/sub-9008_ses-1_task-sleepiness
613,9008,2,arrows,TRUE,sub-9008/ses-2/func/sub-9008_ses-2_task-arrows,sub-9008/ses-2/func/sub-9008_ses-2_task-arrows,sub-9008/ses-2/func/sub-9008_ses-2_task-arrows,sub-9008/ses-2/func/sub-9008_ses-2_task-arrows
614,9008,2,faces,TRUE,sub-9008/ses-2/func/sub-9008_ses-2_task-faces,sub-9008/ses-2/func/sub-9008_ses-2_task-faces,sub-9008/ses-2/func/sub-9008_ses-2_task-faces,sub-9008/ses-2/func/sub-9008_ses-2_task-faces
616,9008,2,hands,TRUE,sub-9008/ses-2/func/sub-9008_ses-2_task-hands,sub-9008/ses-2/func/sub-9008_ses-2_task-hands,sub-9008/ses-2/func/sub-9008_ses-2_task-hands,sub-9008/ses-2/func/sub-9008_ses-2_task-hands
612,9008,2,rest,TRUE,sub-9008/ses-2/func/sub-9008_ses-2_task-rest,sub-9008/ses-2/func/sub-9008_ses-2_task-rest,sub-9008/ses-2/func/sub-9008_ses-2_task-rest,sub-9008/ses-2/func/sub-9008_ses-2_task-rest
