,path,filename,x,y,z,t, total size 
259,/external/rprshnas01/netdata_kcni/edlab/temp_dataknights/masked_BOLD_images/sub-9042/ses-2/func/sub-9042_ses-2_task-faces_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,sub-9042_ses-2_task-faces_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,87,103,65,8," 4,659,720 "
225,/external/rprshnas01/netdata_kcni/edlab/temp_dataknights/masked_BOLD_images/sub-9065/ses-2/func/sub-9065_ses-2_task-sleepiness_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,sub-9065_ses-2_task-sleepiness_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,87,103,65,17," 9,901,905 "
485,/external/rprshnas01/netdata_kcni/edlab/temp_dataknights/masked_BOLD_images/sub-9034/ses-2/func/sub-9034_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,sub-9034_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,87,103,65,146," 85,039,890 "
771,/external/rprshnas01/netdata_kcni/edlab/temp_dataknights/masked_BOLD_images/sub-9081/ses-1/func/sub-9081_ses-1_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,sub-9081_ses-1_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,87,103,65,146," 85,039,890 "
730,/external/rprshnas01/netdata_kcni/edlab/temp_dataknights/masked_BOLD_images/sub-9085/ses-2/func/sub-9085_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,sub-9085_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,87,103,65,147," 85,622,355 "
532,/external/rprshnas01/netdata_kcni/edlab/temp_dataknights/masked_BOLD_images/sub-9028/ses-2/func/sub-9028_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,sub-9028_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,87,103,65,148," 86,204,820 "
631,/external/rprshnas01/netdata_kcni/edlab/temp_dataknights/masked_BOLD_images/sub-9068/ses-1/func/sub-9068_ses-1_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,sub-9068_ses-1_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,87,103,65,148," 86,204,820 "
769,/external/rprshnas01/netdata_kcni/edlab/temp_dataknights/masked_BOLD_images/sub-9081/ses-2/func/sub-9081_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,sub-9081_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,87,103,65,148," 86,204,820 "
141,/external/rprshnas01/netdata_kcni/edlab/temp_dataknights/masked_BOLD_images/sub-9041/ses-1/func/sub-9041_ses-1_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,sub-9041_ses-1_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,87,103,65,149," 86,787,285 "
155,/external/rprshnas01/netdata_kcni/edlab/temp_dataknights/masked_BOLD_images/sub-9055/ses-2/func/sub-9055_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,sub-9055_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold_masked_(final_resamp_intersected)_bold.nii.gz,87,103,65,149," 86,787,285 "
