,algo,cv fold,metric,value
0,Logistic Regression,0,fit_time,233.78330159187317
1,Logistic Regression,1,fit_time,235.40925097465515
2,Logistic Regression,2,fit_time,223.09547424316406
3,Logistic Regression,3,fit_time,233.4692931175232
4,Logistic Regression,4,fit_time,238.24327206611633
5,Logistic Regression,0,score_time,32.138827323913574
6,Logistic Regression,1,score_time,33.865365982055664
7,Logistic Regression,2,score_time,35.9807493686676
8,Logistic Regression,3,score_time,31.204096794128418
9,Logistic Regression,4,score_time,35.17520618438721
10,Logistic Regression,0,test_precision,0.4533333333333333
11,Logistic Regression,1,test_precision,0.5223880597014925
12,Logistic Regression,2,test_precision,0.49382716049382713
13,Logistic Regression,3,test_precision,0.4927536231884058
14,Logistic Regression,4,test_precision,0.547945205479452
15,Logistic Regression,0,test_recall,0.5074626865671642
16,Logistic Regression,1,test_recall,0.5223880597014925
17,Logistic Regression,2,test_recall,0.5970149253731343
18,Logistic Regression,3,test_recall,0.5151515151515151
19,Logistic Regression,4,test_recall,0.6060606060606061
20,Logistic Regression,0,test_accuracy,0.4307692307692308
21,Logistic Regression,1,test_accuracy,0.5038759689922481
22,Logistic Regression,2,test_accuracy,0.4728682170542636
23,Logistic Regression,3,test_accuracy,0.4806201550387597
24,Logistic Regression,4,test_accuracy,0.5426356589147286
25,Logistic Regression,0,test_f1,0.47887323943661975
26,Logistic Regression,1,test_f1,0.5223880597014925
27,Logistic Regression,2,test_f1,0.5405405405405405
28,Logistic Regression,3,test_f1,0.5037037037037038
29,Logistic Regression,4,test_f1,0.5755395683453237
30,Logistic Regression,0,test_roc_auc,0.4283345178867567
31,Logistic Regression,1,test_roc_auc,0.503129513721714
32,Logistic Regression,2,test_roc_auc,0.4678623013962446
33,Logistic Regression,3,test_roc_auc,0.4797979797979798
34,Logistic Regression,4,test_roc_auc,0.5411255411255411
35,KNeighbors,0,fit_time,271.3836741447449
36,KNeighbors,1,fit_time,279.9026117324829
37,KNeighbors,2,fit_time,266.31597232818604
38,KNeighbors,3,fit_time,263.36420583724976
39,KNeighbors,4,fit_time,283.2110056877136
40,KNeighbors,0,score_time,383.41552782058716
41,KNeighbors,1,score_time,361.5368366241455
42,KNeighbors,2,score_time,386.6338677406311
43,KNeighbors,3,score_time,388.4897937774658
44,KNeighbors,4,score_time,379.1979625225067
45,KNeighbors,0,test_precision,0.5
46,KNeighbors,1,test_precision,0.5193798449612403
47,KNeighbors,2,test_precision,0.5193798449612403
48,KNeighbors,3,test_precision,0.3333333333333333
49,KNeighbors,4,test_precision,0.6
50,KNeighbors,0,test_recall,0.014925373134328358
51,KNeighbors,1,test_recall,1.0
52,KNeighbors,2,test_recall,1.0
53,KNeighbors,3,test_recall,0.015151515151515152
54,KNeighbors,4,test_recall,0.045454545454545456
55,KNeighbors,0,test_accuracy,0.4846153846153846
56,KNeighbors,1,test_accuracy,0.5193798449612403
57,KNeighbors,2,test_accuracy,0.5193798449612403
58,KNeighbors,3,test_accuracy,0.4806201550387597
59,KNeighbors,4,test_accuracy,0.49612403100775193
60,KNeighbors,0,test_f1,0.02898550724637681
61,KNeighbors,1,test_f1,0.6836734693877551
62,KNeighbors,2,test_f1,0.6836734693877551
63,KNeighbors,3,test_f1,0.028985507246376812
64,KNeighbors,4,test_f1,0.08450704225352113
65,KNeighbors,0,test_roc_auc,0.4995261786306563
66,KNeighbors,1,test_roc_auc,0.5
67,KNeighbors,2,test_roc_auc,0.5
68,KNeighbors,3,test_roc_auc,0.4917027417027417
69,KNeighbors,4,test_roc_auc,0.5068542568542568
70,Decision Tree,0,fit_time,1519.4989411830902
71,Decision Tree,1,fit_time,1500.324886083603
72,Decision Tree,2,fit_time,1702.6928651332855
73,Decision Tree,3,fit_time,1698.6205458641052
74,Decision Tree,4,fit_time,1574.3466815948486
75,Decision Tree,0,score_time,32.341695070266724
76,Decision Tree,1,score_time,31.57396912574768
77,Decision Tree,2,score_time,31.8884494304657
