,subject,session,task,path,new_filename,new_directory
0,9001,1,arrows,..\data\preprocessed\sub-9001\ses-1\func\sub-9001_ses-1_task-arrows_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,sub-9001_ses-1_task-arrows_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,.\masked_BOLD_images\sub-9001\ses-1\func
1,9001,1,faces,..\data\preprocessed\sub-9001\ses-1\func\sub-9001_ses-1_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,sub-9001_ses-1_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,.\masked_BOLD_images\sub-9001\ses-1\func
2,9001,1,hands,..\data\preprocessed\sub-9001\ses-1\func\sub-9001_ses-1_task-hands_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,sub-9001_ses-1_task-hands_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,.\masked_BOLD_images\sub-9001\ses-1\func
3,9001,1,rest,..\data\preprocessed\sub-9001\ses-1\func\sub-9001_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,sub-9001_ses-1_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,.\masked_BOLD_images\sub-9001\ses-1\func
4,9001,1,sleepiness,..\data\preprocessed\sub-9001\ses-1\func\sub-9001_ses-1_task-sleepiness_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,sub-9001_ses-1_task-sleepiness_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,.\masked_BOLD_images\sub-9001\ses-1\func
5,9001,2,arrows,..\data\preprocessed\sub-9001\ses-2\func\sub-9001_ses-2_task-arrows_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,sub-9001_ses-2_task-arrows_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,.\masked_BOLD_images\sub-9001\ses-2\func
6,9001,2,faces,..\data\preprocessed\sub-9001\ses-2\func\sub-9001_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,sub-9001_ses-2_task-faces_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,.\masked_BOLD_images\sub-9001\ses-2\func
7,9001,2,hands,..\data\preprocessed\sub-9001\ses-2\func\sub-9001_ses-2_task-hands_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,sub-9001_ses-2_task-hands_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,.\masked_BOLD_images\sub-9001\ses-2\func
8,9001,2,rest,..\data\preprocessed\sub-9001\ses-2\func\sub-9001_ses-2_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,sub-9001_ses-2_task-rest_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,.\masked_BOLD_images\sub-9001\ses-2\func
9,9001,2,sleepiness,..\data\preprocessed\sub-9001\ses-2\func\sub-9001_ses-2_task-sleepiness_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,sub-9001_ses-2_task-sleepiness_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,.\masked_BOLD_images\sub-9001\ses-2\func
10,9002,1,arrows,..\data\preprocessed\sub-9002\ses-1\func\sub-9002_ses-1_task-arrows_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,sub-9002_ses-1_task-arrows_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,.\masked_BOLD_images\sub-9002\ses-1\func
